IdCliente;Edad;Rango estareo;Actividad Laboral;Estado Civil;Nivel Educacional;Tiene Mora;Saldo Medio Anual;Tiene Credito Hipotecario;Tiene Credito de Consumo;Medio de Contacto Preferente;Contactos con su Ejecutivo;Tiene Inversiones
34;81;65 a mas;Jubilado;Divorciado;Universitario;No;639000;No;No;Fono Particular;0;Si
35;81;65 a mas;Jubilado;Divorciado;Universitario;No;2619000;No;No;Fono Particular;2;No
36;75;65 a mas;Jubilado;Divorciado;Universitario;No;1680000;No;No;Fono Particular;3;No
37;81;65 a mas;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;3;Si
38;81;65 a mas;Obrero;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
39;80;65 a mas;Jubilado;Casado;Universitario;No;1702000;No;No;Fono Particular;0;No
40;75;65 a mas;Jubilado;Casado;Universitario;No;81204000;No;No;Fono Particular;2;Si
41;81;65 a mas;Jubilado;Casado;Universitario;No;1791000;No;No;Fono Particular;0;No
42;78;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;20000;No;No;Celular;0;No
43;80;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
44;76;65 a mas;Jubilado;Casado;Técnico Profesional;No;4216000;No;No;Celular;0;No
45;72;65 a mas;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;3;No
46;77;65 a mas;Jubilado;Soltero;Universitario;No;1965000;No;No;Fono Particular;0;Si
47;78;65 a mas;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;2;Si
48;80;65 a mas;Jubilado;Divorciado;Universitario;No;2619000;No;No;Fono Particular;0;No
49;72;65 a mas;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;2;No
50;78;65 a mas;Jubilado;Divorciado;Universitario;No;4565000;No;No;Celular;0;No
51;73;65 a mas;Trabajador Dependiente;Casado;Enseñanza Básica;No;2140000;No;No;Celular;8;No
52;76;65 a mas;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;5944000;No;No;Celular;0;No
53;80;65 a mas;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;1;No
54;80;65 a mas;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;2;No
55;80;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;3;No
56;78;65 a mas;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;1;Si
57;79;65 a mas;Jubilado;Soltero;Universitario;No;3349000;No;No;Fono Particular;0;No
58;80;65 a mas;Jubilado;Casado;Universitario;No;4761000;No;No;Fono Particular;0;Si
59;72;65 a mas;Jubilado;Divorciado;Universitario;No;1097000;No;No;Fono Particular;0;Si
60;80;65 a mas;Jubilado;Casado;Enseñanza Media;No;0;No;No;Celular;0;No
61;79;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;46000;No;No;Celular;0;No
62;72;65 a mas;Jubilado;Casado;Universitario;No;6236000;No;No;Celular;0;No
63;78;65 a mas;Jubilado;Casado;Universitario;No;425000;No;No;Fono Particular;0;No
64;72;65 a mas;Trabajador Dependiente;Casado;Enseñanza Básica;No;2140000;No;No;Fono Particular;0;No
65;75;65 a mas;Jubilado;Casado;Técnico Profesional;No;211000;No;No;Fono Particular;0;No
66;79;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;1;No
67;71;65 a mas;Jubilado;Casado;Universitario;No;278000;No;No;Celular;0;No
68;71;65 a mas;Jubilado;Casado;Universitario;No;8603000;No;No;Celular;0;Si
69;73;65 a mas;Jubilado;Divorciado;Universitario;No;1419000;No;No;Fono Particular;0;No
70;75;65 a mas;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;1;No
71;79;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Celular;1;No
72;79;65 a mas;Jubilado;Casado;Universitario;No;243000;No;No;Celular;2;No
73;75;65 a mas;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;4;Si
74;75;65 a mas;Jubilado;Casado;Enseñanza Media;No;121000;No;No;Fono Particular;0;No
75;78;65 a mas;Jubilado;Divorciado;Universitario;No;928000;No;No;Fono Particular;3;No
76;79;65 a mas;Jubilado;Casado;Enseñanza Media;No;0;No;No;Fono Particular;0;No
77;73;65 a mas;Jubilado;Casado;Universitario;No;276000;No;No;Fono Particular;0;No
78;79;65 a mas;Técnico;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
79;75;65 a mas;Jubilado;Casado;Universitario;No;103000;No;No;Celular;0;No
80;71;65 a mas;Jubilado;Casado;Universitario;No;8603000;No;No;Celular;1;Si
81;75;65 a mas;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1381000;No;No;Celular;0;No
82;79;65 a mas;Jubilado;Divorciado;Universitario;No;0;No;No;Fono Particular;0;No
83;78;65 a mas;Jubilado;Casado;Universitario;No;5220000;No;No;Fono Particular;2;Si
84;78;65 a mas;Jubilado;Casado;Universitario;No;243000;No;No;Celular;0;No
85;70;65 a mas;Jubilado;Divorciado;Técnico Profesional;No;9224000;No;No;Fono Particular;0;No
86;75;65 a mas;Jubilado;Casado;Enseñanza Media;No;93000;No;No;Celular;0;No
87;76;65 a mas;Jubilado;Divorciado;Universitario;No;452000;No;No;Fono Particular;0;Si
88;72;65 a mas;Jubilado;Divorciado;Universitario;No;519000;No;No;Fono Particular;0;No
89;78;65 a mas;Jubilado;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
90;78;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
91;77;65 a mas;Jubilado;Casado;Enseñanza Media;No;1000;No;No;Celular;0;No
92;78;65 a mas;Jubilado;Casado;Enseñanza Básica;No;0;No;No;Fono Particular;0;No
93;77;65 a mas;Jubilado;Divorciado;Universitario;No;4321000;No;No;Celular;0;No
94;74;65 a mas;Jubilado;Divorciado;Universitario;No;949000;No;No;Celular;1;Si
95;76;65 a mas;Jubilado;Casado;Universitario;No;1154000;No;No;Fono Particular;0;Si
96;78;65 a mas;Jubilado;Casado;Universitario;No;243000;No;No;Celular;1;No
97;78;65 a mas;Jubilado;Divorciado;Universitario;No;0;No;No;Celular;0;No
98;78;65 a mas;Trabajador Dependiente;Casado;Universitario;No;0;No;No;Celular;0;No
99;73;65 a mas;Jubilado;Casado;Universitario;No;122000;No;No;Fono Particular;0;No
100;75;65 a mas;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;2;No
101;71;65 a mas;Jubilado;Casado;Universitario;No;3669000;No;No;Celular;0;No
102;76;65 a mas;Jubilado;Casado;Universitario;No;1468000;No;No;Celular;0;Si
103;70;65 a mas;Jubilado;Casado;Universitario;No;997000;No;No;Celular;3;Si
104;76;65 a mas;Jubilado;Divorciado;Universitario;No;235000;No;No;Celular;3;No
105;71;65 a mas;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;11;No
106;73;65 a mas;Trabajador Dependiente;Casado;Universitario;No;499000;No;No;Fono Particular;4;No
107;75;65 a mas;Jubilado;Divorciado;Universitario;No;5861000;No;No;Fono Particular;0;No
108;75;65 a mas;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;3;No
109;77;65 a mas;Jubilado;Casado;Universitario;No;594000;No;No;Fono Particular;0;No
110;73;65 a mas;Jubilado;Casado;Universitario;No;1021000;No;No;Fono Particular;0;No
111;70;65 a mas;Jubilado;Casado;Universitario;No;1861000;No;No;Fono Particular;0;No
112;71;65 a mas;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;13;Si
113;73;65 a mas;Jubilado;Casado;Técnico Profesional;No;355000;No;No;Fono Particular;0;No
114;69;65 a mas;Jubilado;Casado;Universitario;No;1610000;No;No;Celular;0;No
115;75;65 a mas;Jubilado;Casado;Enseñanza Media;No;2000;No;No;Fono Particular;0;No
116;74;65 a mas;Gerente;Casado;Universitario;No;6483000;No;No;Fono Particular;0;No
117;77;65 a mas;Jubilado;Casado;Universitario;No;1548000;No;No;Celular;0;No
118;71;65 a mas;Jubilado;Casado;Universitario;No;2994000;No;No;Celular;0;No
119;75;65 a mas;Jubilado;Casado;Universitario;No;2954000;No;No;Celular;0;No
120;75;65 a mas;Jubilado;Casado;Universitario;No;155000;No;No;Fono Particular;0;No
121;74;65 a mas;Jubilado;Casado;Universitario;No;462000;No;No;Celular;0;No
122;71;65 a mas;Jubilado;Casado;Enseñanza Media;No;87000;No;No;Fono Particular;0;No
123;70;65 a mas;Jubilado;Casado;Universitario;No;997000;No;No;Celular;1;Si
124;77;65 a mas;Trabajador Dependiente;Casado;Enseñanza Básica;No;0;No;No;Celular;1;No
125;72;65 a mas;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;2;Si
126;76;65 a mas;Jubilado;Casado;Universitario;No;1468000;No;No;Celular;3;No
127;75;65 a mas;Jubilado;Casado;Universitario;No;668000;No;No;Fono Particular;1;Si
128;72;65 a mas;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;3;No
129;75;65 a mas;Jubilado;Casado;Universitario;No;173000;No;No;Celular;0;No
130;71;65 a mas;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;12;Si
131;75;65 a mas;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;3;No
132;76;65 a mas;Jubilado;Divorciado;Técnico Profesional;No;2628000;No;No;Fono Particular;2;No
133;70;65 a mas;Jubilado;Divorciado;Universitario;No;2787000;No;No;Fono Particular;1;Si
134;72;65 a mas;Jubilado;Casado;Universitario;No;4738000;No;No;Fono Particular;0;No
135;75;65 a mas;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;1;No
136;74;65 a mas;Jubilado;Divorciado;Universitario;No;1910000;No;No;Fono Particular;0;No
137;70;65 a mas;Jubilado;Casado;Universitario;No;2661000;No;No;Celular;0;Si
138;70;65 a mas;Jubilado;Casado;Universitario;No;8304000;No;No;Celular;9;Si
139;75;65 a mas;Jubilado;Casado;Universitario;No;3025000;No;No;Celular;3;Si
140;76;65 a mas;Jubilado;Casado;Universitario;No;909000;No;No;Celular;1;No
141;73;65 a mas;Jubilado;Casado;Universitario;No;723000;No;No;Fono Particular;3;Si
142;69;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;79000;No;No;Celular;0;No
143;71;65 a mas;Jubilado;Casado;Universitario;No;2354000;No;No;Fono Particular;0;No
144;76;65 a mas;Trabajador Dependiente;Casado;Enseñanza Básica;No;0;No;No;Celular;0;No
145;73;65 a mas;Jubilado;Divorciado;Universitario;No;336000;No;No;Celular;1;No
146;69;65 a mas;Jubilado;Casado;Universitario;No;3481000;No;No;Fono Particular;0;No
147;71;65 a mas;Jubilado;Casado;Universitario;No;1058000;No;No;Fono Particular;0;No
148;74;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;20000;No;No;Celular;1;No
149;70;65 a mas;Jubilado;Casado;Universitario;No;8556000;No;No;Fono Particular;2;Si
150;73;65 a mas;Jubilado;Casado;Universitario;No;723000;No;No;Fono Particular;0;No
151;74;65 a mas;Jubilado;Casado;Universitario;No;668000;No;No;Fono Particular;0;Si
152;70;65 a mas;Jubilado;Casado;Universitario;No;429000;No;No;Fono Particular;0;Si
153;76;65 a mas;Jubilado;Casado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
154;75;65 a mas;Jubilado;Casado;Universitario;No;3025000;No;No;Fono Particular;6;No
155;70;65 a mas;Jubilado;Casado;Universitario;No;8304000;No;No;Fono Particular;0;Si
156;71;65 a mas;Trabajador Dependiente;Casado;Universitario;No;499000;No;No;Fono Particular;0;No
157;69;65 a mas;Jubilado;Casado;Universitario;No;8556000;No;No;Fono Particular;0;Si
158;69;65 a mas;Jubilado;Casado;Universitario;No;240000;No;No;Celular;0;No
159;67;65 a mas;Jubilado;Divorciado;Universitario;No;1016000;No;No;Celular;0;No
160;69;65 a mas;Jubilado;Divorciado;Universitario;No;2787000;No;No;Fono Particular;0;Si
161;74;65 a mas;Jubilado;Casado;Técnico Profesional;No;4807000;No;No;Fono Particular;4;Si
162;72;65 a mas;Jubilado;Divorciado;Universitario;No;1389000;No;No;Celular;0;Si
163;71;65 a mas;Jubilado;Casado;Técnico Profesional;No;3208000;No;No;Fono Particular;0;Si
164;71;65 a mas;Jubilado;Casado;Universitario;No;832000;No;No;Fono Particular;0;No
165;69;65 a mas;Jubilado;Divorciado;Universitario;No;3417000;No;No;Celular;1;Si
166;70;65 a mas;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;9;No
167;72;65 a mas;Jubilado;Divorciado;Universitario;No;4917000;No;No;Celular;0;No
168;67;65 a mas;Jubilado;Casado;Universitario;No;2735000;No;No;Fono Particular;0;No
169;70;65 a mas;Jubilado;Casado;Universitario;No;158000;No;No;Celular;0;No
170;72;65 a mas;Trabajador Dependiente;Casado;Universitario;No;2235000;No;No;Fono Particular;0;Si
171;75;65 a mas;Jubilado;Divorciado;Técnico Profesional;No;2628000;No;No;Fono Particular;0;No
172;68;65 a mas;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;7;Si
173;73;65 a mas;Jubilado;Casado;Universitario;No;14204000;No;No;Celular;1;No
174;70;65 a mas;Jubilado;Divorciado;Universitario;No;527000;No;No;Celular;0;Si
175;74;65 a mas;Jubilado;Divorciado;Universitario;No;631000;No;No;Fono Particular;0;No
176;71;65 a mas;Jubilado;Casado;Universitario;No;220000;No;No;Celular;0;No
177;75;65 a mas;Jubilado;Divorciado;Técnico Profesional;No;0;No;No;Fono Particular;0;No
178;71;65 a mas;Jubilado;Casado;Universitario;No;301000;No;No;Celular;0;No
179;74;65 a mas;Jubilado;Casado;Universitario;No;226000;No;No;Fono Particular;0;No
180;74;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;55000;No;No;Fono Particular;1;No
181;71;65 a mas;Jubilado;Divorciado;Universitario;No;229000;No;No;Fono Particular;0;No
182;74;65 a mas;Jubilado;Casado;Técnico Profesional;No;4807000;No;No;Fono Particular;0;Si
183;68;65 a mas;Jubilado;Casado;Universitario;No;1204000;No;No;Fono Particular;0;Si
184;69;65 a mas;Jubilado;Divorciado;Universitario;No;3219000;No;No;Celular;0;Si
185;73;65 a mas;Jubilado;Casado;Técnico Profesional;No;38000;No;No;Fono Particular;3;No
186;66;65 a mas;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;3;Si
187;74;65 a mas;Jubilado;Casado;Universitario;No;2223000;No;No;Fono Particular;1;No
188;67;65 a mas;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;20;Si
189;71;65 a mas;Jubilado;Casado;Universitario;No;1047000;No;No;Celular;0;No
190;69;65 a mas;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;7;No
191;67;65 a mas;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;15;No
192;66;65 a mas;Jubilado;Casado;Universitario;No;638000;No;No;Celular;1;Si
193;67;65 a mas;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;12;Si
194;68;65 a mas;Jubilado;Divorciado;Universitario;No;3417000;No;No;Celular;0;Si
195;67;65 a mas;Jubilado;Casado;Técnico Profesional;No;1807000;No;No;Fono Particular;0;Si
196;67;65 a mas;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;3;Si
197;69;65 a mas;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;0;No
198;69;65 a mas;Jubilado;Casado;Universitario;No;680000;No;No;Fono Particular;3;No
199;66;65 a mas;Jubilado;Casado;Universitario;No;989000;No;No;Fono Particular;0;No
200;70;65 a mas;Jubilado;Casado;Universitario;No;121000;No;No;Fono Particular;0;No
201;71;65 a mas;Jubilado;Soltero;Universitario;No;300000;No;No;Celular;0;No
202;74;65 a mas;Jubilado;Divorciado;Enseñanza Media;No;0;No;No;Celular;0;No
203;66;65 a mas;Jubilado;Casado;Universitario;No;638000;No;No;Celular;0;Si
204;74;65 a mas;Jubilado;Casado;Universitario;No;0;No;No;Celular;1;No
205;68;65 a mas;Jubilado;Casado;Universitario;No;699000;No;No;Celular;0;Si
206;67;65 a mas;Jubilado;Casado;Universitario;No;610000;No;No;Celular;0;No
207;74;65 a mas;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
208;67;65 a mas;Jubilado;Casado;Universitario;No;1492000;No;No;Fono Particular;2;No
209;74;65 a mas;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
210;66;65 a mas;Jubilado;Casado;Universitario;No;1385000;No;No;Fono Particular;0;No
211;73;65 a mas;Técnico;Casado;Técnico Profesional;No;397000;No;No;Fono Particular;3;No
212;72;65 a mas;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;12;No
213;73;65 a mas;Jubilado;Casado;Universitario;No;820000;No;No;Fono Particular;4;Si
214;68;65 a mas;Jubilado;Divorciado;Universitario;No;4659000;No;No;Celular;0;Si
215;71;65 a mas;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;5;Si
216;73;65 a mas;Técnico;Casado;Técnico Profesional;No;397000;No;No;Fono Particular;0;Si
217;71;65 a mas;Gerente;Casado;Universitario;No;5619000;No;No;Celular;0;No
218;66;65 a mas;Jubilado;Casado;Universitario;No;7802000;No;No;Fono Particular;2;Si
219;67;65 a mas;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Celular;5;Si
220;72;65 a mas;Jubilado;Casado;Técnico Profesional;No;992000;No;No;Celular;2;No
221;72;65 a mas;Jubilado;Casado;Técnico Profesional;No;38000;No;No;Fono Particular;0;No
222;66;65 a mas;Jubilado;Casado;Universitario;No;2123000;No;No;Fono Particular;0;No
223;66;65 a mas;Jubilado;Casado;Universitario;No;7802000;No;No;Fono Particular;0;Si
224;66;65 a mas;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;2;Si
225;74;65 a mas;Jubilado;Divorciado;Universitario;No;639000;No;No;Fono Particular;0;No
226;67;65 a mas;Jubilado;Casado;Universitario;No;9601000;No;No;Fono Particular;0;Si
227;72;65 a mas;Jubilado;Casado;Universitario;No;1208000;No;No;Fono Particular;0;No
228;74;65 a mas;Jubilado;Casado;Universitario;No;29340000;No;No;Celular;2;Si
229;74;65 a mas;Jubilado;Casado;Universitario;No;0;No;No;Celular;0;No
230;72;65 a mas;Jubilado;Divorciado;Universitario;No;802000;No;No;Celular;5;Si
231;66;65 a mas;Gerente;Casado;Técnico Profesional;No;1780000;Si;No;Fono Particular;0;Si
232;66;65 a mas;Jubilado;Divorciado;Universitario;No;3049000;No;No;Celular;0;Si
233;70;65 a mas;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;2;No
234;67;65 a mas;Jubilado;Casado;Universitario;No;852000;No;No;Fono Particular;0;No
235;73;65 a mas;Jubilado;Casado;Universitario;No;2223000;No;No;Fono Particular;0;Si
236;73;65 a mas;Jubilado;Casado;Técnico Profesional;No;8919000;No;No;Celular;0;No
237;71;65 a mas;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;2;No
238;72;65 a mas;Jubilado;Casado;Universitario;No;820000;No;No;Fono Particular;0;Si
239;66;65 a mas;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;1;Si
240;66;65 a mas;Jubilado;Casado;Universitario;No;2590000;No;No;Fono Particular;0;No
241;66;65 a mas;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1411000;No;No;Fono Particular;0;Si
242;73;65 a mas;Jubilado;Casado;Universitario;No;0;No;No;Fono Particular;0;No
243;70;65 a mas;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;1;Si
244;68;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;86000;No;No;Celular;0;No
245;72;65 a mas;Jubilado;Casado;Universitario;No;163000;No;No;Fono Particular;0;No
246;66;65 a mas;Trabajador Dependiente;Divorciado;Enseñanza Básica;No;1411000;No;No;Fono Particular;3;Si
247;65;65 a mas;Jubilado;Casado;Universitario;No;242000;No;No;Fono Particular;0;No
248;72;65 a mas;Jubilado;Divorciado;Universitario;No;802000;No;No;Celular;0;Si
249;69;65 a mas;Jubilado;Casado;Universitario;No;2632000;No;No;Celular;0;No
250;70;65 a mas;Jubilado;Casado;Universitario;No;2991000;No;No;Celular;1;Si
251;65;65 a mas;Jubilado;Casado;Universitario;No;4112000;No;No;Fono Particular;0;Si
252;71;65 a mas;Jubilado;Casado;Técnico Profesional;No;992000;No;No;Celular;0;No
253;71;65 a mas;Jubilado;Divorciado;Universitario;No;2693000;No;No;Celular;0;Si
254;66;65 a mas;Jubilado;Casado;Universitario;No;1492000;No;No;Fono Particular;0;Si
255;66;65 a mas;Jubilado;Casado;Universitario;No;2302000;No;No;Fono Particular;0;No
256;70;65 a mas;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;3;Si
257;73;65 a mas;Jubilado;Casado;Universitario;No;0;No;No;Fono Particular;1;No
258;66;65 a mas;Jubilado;Casado;Universitario;No;2302000;No;No;Fono Particular;2;No
259;70;65 a mas;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;4;Si
260;66;65 a mas;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;2;No
261;66;65 a mas;Trabajador Dependiente;Casado;Enseñanza Básica;No;1483000;No;No;Celular;0;No
262;69;65 a mas;Jubilado;Casado;Universitario;No;291000;No;No;Celular;2;No
263;69;65 a mas;Jubilado;Casado;Universitario;No;3504000;No;No;Fono Particular;0;No
264;64;55 a 64;Jubilado;Casado;Universitario;No;962000;No;No;Celular;0;No
265;72;65 a mas;Jubilado;Casado;Universitario;No;468000;No;No;Fono Particular;0;No
266;67;65 a mas;Trabajador Dependiente;Casado;Universitario;No;6053000;No;No;Celular;1;No
267;69;65 a mas;Jubilado;Casado;Universitario;No;291000;No;No;Celular;1;No
268;65;65 a mas;Jubilado;Casado;Técnico Profesional;No;7819000;No;No;Celular;4;No
269;70;65 a mas;Jubilado;Divorciado;Universitario;No;37127000;No;No;Celular;0;No
270;69;65 a mas;Jubilado;Divorciado;Universitario;No;2199000;No;No;Fono Particular;0;No
271;72;65 a mas;Jubilado;Casado;Universitario;No;324000;No;No;Fono Particular;4;No
272;66;65 a mas;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;2;Si
273;65;65 a mas;Trabajador Independiente;Casado;Técnico Profesional;No;4984000;No;No;Fono Particular;0;Si
274;72;65 a mas;Jubilado;Divorciado;Universitario;No;1341000;No;No;Celular;0;Si
275;71;65 a mas;Jubilado;Casado;Universitario;No;26452000;No;No;Fono Particular;0;No
276;71;65 a mas;Jubilado;Casado;Universitario;No;5491000;No;No;Fono Particular;0;No
277;68;65 a mas;Trabajador Dependiente;Casado;Universitario;No;643000;No;No;Celular;0;No
278;72;65 a mas;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;1;Si
279;67;65 a mas;Trabajador Dependiente;Casado;Universitario;No;6053000;No;No;Fono Particular;0;No
280;72;65 a mas;Jubilado;Casado;Universitario;No;2970000;No;No;Celular;0;Si
281;72;65 a mas;Jubilado;Casado;Universitario;No;1413000;No;No;Celular;2;Si
282;69;65 a mas;Jubilado;Divorciado;Universitario;No;3810000;Si;No;Celular;1;Si
283;69;65 a mas;Jubilado;Divorciado;Universitario;No;1092000;No;No;Fono Particular;2;No
284;65;65 a mas;Jubilado;Casado;Universitario;No;4912000;No;No;Fono Particular;5;No
285;72;65 a mas;Jubilado;Divorciado;Universitario;No;1926000;No;No;Celular;5;No
286;66;65 a mas;Jubilado;Divorciado;Universitario;No;852000;No;No;Celular;1;No
287;71;65 a mas;Jubilado;Casado;Universitario;No;1765000;No;No;Fono Particular;4;Si
288;71;65 a mas;Jubilado;Divorciado;Enseñanza Básica;No;46000;No;No;Celular;0;No
289;69;65 a mas;Jubilado;Casado;Universitario;No;3324000;No;No;Celular;0;No
290;66;65 a mas;Jubilado;Divorciado;Enseñanza Media;No;105000;No;No;Celular;0;No
291;70;65 a mas;Jubilado;Divorciado;Universitario;No;3881000;Si;No;Celular;0;Si
292;65;65 a mas;Jubilado;Casado;Universitario;No;358000;No;No;Celular;0;No
293;69;65 a mas;Jubilado;Casado;Universitario;No;1470000;No;No;Fono Particular;0;No
294;72;65 a mas;Jubilado;Casado;Universitario;No;3771000;No;No;Fono Particular;2;Si
295;66;65 a mas;Jubilado;Casado;Universitario;No;6027000;No;No;Celular;4;Si
